epoch,error,weights
1,2,"[0.0, -0.033867535649082334, 0.005347505628802471, -0.05882256191682721, -0.02139002251520989]"
2,2,"[0.0, -0.06405200856860505, 0.010113475037148156, -0.11124822540862979, -0.04045390014859264]"
3,1,"[0.014158915687682759, 0.008158461438577014, 0.05966967994403781, -0.09142574344587392, -0.03762211701105609]"
4,0,"[0.014158915687682759, 0.008158461438577014, 0.05966967994403781, -0.09142574344587392, -0.03762211701105609]"
5,0,"[0.014158915687682759, 0.008158461438577014, 0.05966967994403781, -0.09142574344587392, -0.03762211701105609]"
6,0,"[0.014158915687682759, 0.008158461438577014, 0.05966967994403781, -0.09142574344587392, -0.03762211701105609]"
7,0,"[0.014158915687682759, 0.008158461438577014, 0.05966967994403781, -0.09142574344587392, -0.03762211701105609]"
