epoch,error,weights
1,3,"[0.8, 0.26, 0.3599999999999999, 1.6400000000000001, 1.42]"
2,3,"[0.6000000000000001, -0.9000000000000001, -0.3200000000000003, 1.62, 1.5999999999999999]"
3,2,"[0.6000000000000001, -1.0400000000000003, -0.3000000000000004, 1.8800000000000003, 1.8199999999999998]"
4,2,"[0.6000000000000001, -1.1800000000000004, -0.28000000000000047, 2.1400000000000006, 2.04]"
5,2,"[0.6000000000000001, -1.3200000000000005, -0.26000000000000056, 2.400000000000001, 2.26]"
6,2,"[0.6000000000000001, -1.4600000000000006, -0.24000000000000066, 2.660000000000001, 2.4799999999999995]"
7,2,"[0.6000000000000001, -1.6000000000000008, -0.22000000000000075, 2.9200000000000013, 2.6999999999999997]"
8,2,"[0.6000000000000001, -1.7400000000000009, -0.20000000000000084, 3.1800000000000015, 2.92]"
9,2,"[0.6000000000000001, -1.880000000000001, -0.18000000000000094, 3.4400000000000017, 3.14]"
10,2,"[0.6000000000000001, -2.0200000000000014, -0.16000000000000103, 3.700000000000002, 3.3600000000000003]"
11,2,"[0.6000000000000001, -2.2600000000000016, -0.2600000000000011, 3.780000000000002, 3.4600000000000004]"
12,2,"[0.6000000000000001, -2.400000000000002, -0.2400000000000012, 4.040000000000003, 3.6800000000000006]"
13,2,"[0.6000000000000001, -2.6400000000000023, -0.3400000000000013, 4.120000000000003, 3.7800000000000007]"
14,2,"[0.6000000000000001, -2.780000000000003, -0.3200000000000014, 4.380000000000003, 4.000000000000001]"
15,2,"[0.6000000000000001, -3.020000000000003, -0.4200000000000015, 4.460000000000003, 4.100000000000001]"
16,2,"[0.6000000000000001, -3.1600000000000037, -0.4000000000000016, 4.720000000000002, 4.320000000000002]"
17,2,"[0.6000000000000001, -3.400000000000004, -0.5000000000000018, 4.8000000000000025, 4.420000000000002]"
18,2,"[0.6000000000000001, -3.5400000000000045, -0.48000000000000187, 5.060000000000002, 4.6400000000000015]"
19,2,"[0.6000000000000001, -3.7800000000000047, -0.5800000000000018, 5.140000000000002, 4.740000000000001]"
20,2,"[0.6000000000000001, -4.020000000000005, -0.6800000000000019, 5.220000000000002, 4.840000000000001]"
21,2,"[0.6000000000000001, -4.1600000000000055, -0.660000000000002, 5.480000000000002, 5.0600000000000005]"
22,2,"[0.6000000000000001, -4.400000000000006, -0.760000000000002, 5.560000000000002, 5.16]"
23,2,"[0.6000000000000001, -4.540000000000006, -0.7400000000000021, 5.820000000000002, 5.38]"
24,2,"[0.6000000000000001, -4.7800000000000065, -0.8400000000000021, 5.900000000000002, 5.4799999999999995]"
25,2,"[0.6000000000000001, -4.900000000000007, -0.9400000000000022, 6.020000000000001, 5.56]"
26,2,"[0.6000000000000001, -5.020000000000007, -1.0400000000000023, 6.140000000000001, 5.64]"
27,2,"[0.6000000000000001, -5.040000000000007, -1.0200000000000022, 6.44, 5.84]"
28,2,"[0.6000000000000001, -5.280000000000007, -1.1200000000000023, 6.52, 5.9399999999999995]"
29,2,"[0.6000000000000001, -5.4000000000000075, -1.2200000000000024, 6.639999999999999, 6.02]"
30,2,"[0.6000000000000001, -5.520000000000008, -1.3200000000000025, 6.759999999999998, 6.1]"
31,2,"[0.6000000000000001, -5.640000000000008, -1.4200000000000026, 6.879999999999997, 6.18]"
32,2,"[0.6000000000000001, -5.760000000000008, -1.5200000000000027, 6.9999999999999964, 6.26]"
33,2,"[0.6000000000000001, -5.700000000000008, -1.4400000000000026, 7.219999999999997, 6.38]"
34,2,"[0.6000000000000001, -5.820000000000008, -1.5400000000000027, 7.339999999999996, 6.46]"
35,2,"[0.6000000000000001, -5.940000000000008, -1.6400000000000028, 7.4599999999999955, 6.54]"
36,2,"[0.6000000000000001, -6.0600000000000085, -1.7400000000000029, 7.579999999999995, 6.62]"
37,2,"[0.6000000000000001, -6.180000000000009, -1.840000000000003, 7.699999999999994, 6.7]"
38,2,"[0.6000000000000001, -6.400000000000008, -1.920000000000003, 7.739999999999993, 6.78]"
39,2,"[0.6000000000000001, -6.340000000000009, -1.840000000000003, 7.959999999999994, 6.9]"
40,2,"[0.6000000000000001, -6.460000000000009, -1.940000000000003, 8.079999999999993, 6.98]"
41,2,"[0.6000000000000001, -6.680000000000009, -2.020000000000003, 8.119999999999992, 7.0600000000000005]"
42,2,"[0.6000000000000001, -6.620000000000008, -1.940000000000003, 8.339999999999993, 7.180000000000001]"
43,2,"[0.6000000000000001, -6.740000000000008, -2.040000000000003, 8.459999999999992, 7.260000000000001]"
44,2,"[0.6000000000000001, -6.960000000000008, -2.120000000000003, 8.499999999999991, 7.340000000000001]"
45,2,"[0.6000000000000001, -6.9000000000000075, -2.040000000000003, 8.719999999999992, 7.460000000000001]"
46,2,"[0.6000000000000001, -7.020000000000007, -2.1400000000000032, 8.839999999999991, 7.540000000000001]"
47,2,"[0.6000000000000001, -7.240000000000007, -2.2200000000000033, 8.87999999999999, 7.620000000000001]"
48,2,"[0.6000000000000001, -7.180000000000007, -2.1400000000000032, 9.099999999999989, 7.740000000000001]"
49,2,"[0.6000000000000001, -7.300000000000008, -2.2400000000000033, 9.219999999999988, 7.820000000000001]"
50,2,"[0.6000000000000001, -7.5200000000000085, -2.3200000000000034, 9.259999999999987, 7.900000000000001]"
51,2,"[0.6000000000000001, -7.200000000000008, -2.1800000000000033, 9.639999999999986, 8.060000000000002]"
52,2,"[0.6000000000000001, -7.060000000000008, -2.2200000000000033, 9.919999999999986, 8.180000000000003]"
53,4,"[0.6000000000000001, -7.100000000000008, -2.100000000000003, 10.179999999999986, 8.480000000000002]"
54,4,"[0.6000000000000001, -6.980000000000007, -2.120000000000003, 10.639999999999986, 8.660000000000004]"
55,3,"[0.4000000000000001, -8.340000000000005, -2.8200000000000034, 9.819999999999986, 8.460000000000004]"
56,2,"[0.4000000000000001, -8.320000000000006, -2.8400000000000034, 9.939999999999985, 8.580000000000005]"
57,2,"[0.4000000000000001, -8.300000000000006, -2.8600000000000034, 10.059999999999985, 8.700000000000006]"
58,2,"[0.4000000000000001, -8.280000000000006, -2.8800000000000034, 10.179999999999984, 8.820000000000007]"
59,2,"[0.4000000000000001, -7.960000000000006, -2.7400000000000033, 10.559999999999983, 8.980000000000008]"
60,2,"[0.4000000000000001, -7.820000000000006, -2.7800000000000034, 10.839999999999982, 9.100000000000007]"
61,4,"[0.4000000000000001, -7.860000000000006, -2.6600000000000033, 11.099999999999984, 9.400000000000007]"
62,4,"[0.4000000000000001, -7.740000000000005, -2.6800000000000033, 11.559999999999985, 9.580000000000009]"
63,3,"[0.20000000000000007, -9.100000000000003, -3.3800000000000034, 10.739999999999984, 9.38000000000001]"
64,2,"[0.20000000000000007, -9.060000000000002, -3.4400000000000035, 10.859999999999983, 9.46000000000001]"
65,2,"[0.20000000000000007, -9.040000000000003, -3.4600000000000035, 10.979999999999983, 9.58000000000001]"
66,2,"[0.20000000000000007, -9.020000000000003, -3.480000000000003, 11.099999999999982, 9.700000000000012]"
67,2,"[0.20000000000000007, -8.740000000000004, -3.4400000000000026, 11.379999999999981, 9.860000000000012]"
68,2,"[0.20000000000000007, -8.540000000000003, -3.2600000000000025, 11.59999999999998, 10.000000000000012]"
