epoch,error,weights
1,2,"[0.6000000000000001, -1.6800000000000004, -0.28000000000000025, -0.8400000000000001, 0.41999999999999993]"
2,3,"[0.8, -1.0800000000000005, 0.3799999999999999, -1.2200000000000002, 0.22000000000000003]"
3,2,"[0.8, -1.3400000000000007, 0.43999999999999995, -1.8400000000000003, -0.040000000000000036]"
4,1,"[1.0, -0.32000000000000073, 1.1400000000000001, -1.5600000000000003, -2.7755575615628914e-17]"
5,0,"[1.0, -0.32000000000000073, 1.1400000000000001, -1.5600000000000003, -2.7755575615628914e-17]"
