epoch,error,weights
1,4,"[0.0794498428254288, -0.15152413415882948, 0.22959907341205907, -0.14280186880566442, 0.2804757366291121]"
2,5,"[0.06356327813094317, -0.20236114118118348, 0.17717340992025646, -0.18887290641967275, 0.25346857664848654]"
3,4,"[0.06356327813094317, -0.19103400863103726, 0.17292573521395163, -0.22285430407011136, 0.22515074527312107]"
4,3,"[0.07618242502054703, -0.1014380657148498, 0.21204509057172363, -0.182473034023379, 0.23019840402896263]"
5,4,"[0.07618242502054703, -0.07894441270723584, 0.20754635997020082, -0.1622287463165264, 0.23244776932972402]"
6,5,"[0.06615868034800158, -0.10600852332310856, 0.1754703770180554, -0.18829048246514457, 0.21540740338639675]"
