epoch,error,weights
1,39,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
2,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
3,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
4,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
5,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
6,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
7,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
8,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
9,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
10,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
11,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
12,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
13,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
14,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
15,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
16,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
17,0,"[0.06117991031861761, -0.05826874481963053, 0.18439196198602018, -0.15352647883007015, 0.09385877211590062]"
