epoch,error,weights
1,61,"[0.0, -0.5000000000000009, -1.660000000000001, 0.47999999999999954, -0.72]"
2,50,"[0.4, 0.0399999999999987, -1.720000000000001, 0.819999999999999, -1.4599999999999997]"
3,55,"[0.6000000000000001, 0.1399999999999988, -2.3600000000000017, 1.4399999999999977, -1.9000000000000001]"
4,55,"[0.8, -0.04000000000000137, -3.1000000000000023, 2.1199999999999983, -2.4200000000000004]"
5,53,"[1.0, -0.8200000000000014, -3.4400000000000026, 1.1599999999999975, -3.5399999999999987]"
6,58,"[1.4, 0.2799999999999989, -3.2400000000000033, 2.259999999999998, -3.7999999999999985]"
7,48,"[1.7999999999999998, 0.7799999999999987, -2.920000000000004, 1.4999999999999973, -4.86]"
8,55,"[1.9999999999999998, 0.7399999999999982, -3.600000000000004, 2.0799999999999965, -5.200000000000001]"
9,61,"[2.1999999999999997, 0.1599999999999977, -4.540000000000005, 2.8999999999999977, -5.340000000000002]"
10,51,"[2.8000000000000003, 0.9999999999999973, -3.8600000000000056, 2.079999999999997, -6.340000000000003]"
11,59,"[3.0000000000000004, 0.6599999999999973, -4.400000000000005, 2.779999999999997, -6.540000000000004]"
12,56,"[3.400000000000001, 0.839999999999997, -4.260000000000008, 2.7399999999999975, -7.1200000000000045]"
13,53,"[3.600000000000001, 0.4199999999999968, -4.34000000000001, 3.1599999999999984, -7.280000000000006]"
14,52,"[4.000000000000001, 0.6799999999999964, -4.140000000000012, 3.079999999999999, -7.9400000000000075]"
15,57,"[4.200000000000001, 0.4999999999999962, -4.420000000000013, 3.5200000000000014, -8.240000000000007]"
16,55,"[4.400000000000001, -0.10000000000000453, -4.900000000000013, 4.120000000000003, -8.240000000000006]"
17,58,"[4.800000000000002, 0.09999999999999565, -4.860000000000013, 4.060000000000005, -8.74]"
18,52,"[5.200000000000002, 0.2999999999999954, -4.520000000000013, 4.0600000000000085, -9.279999999999996]"
19,57,"[5.400000000000002, 0.11999999999999522, -4.600000000000015, 4.200000000000009, -9.499999999999991]"
20,59,"[5.600000000000002, -0.2600000000000049, -5.340000000000016, 4.960000000000012, -9.599999999999984]"
