epoch,error,weights
1,5,"[0.010874906186625462, -0.3721831022818646, 0.030842216683608807, -0.029582952180465374, 0.35383484614606575]"
2,4,"[0.042648035575596724, -0.24985655413432525, 0.13410488719776542, -0.03911489099715676, 0.34112559439047724]"
3,3,"[0.05680695126327948, -0.20737980707127696, 0.18082930896711852, -0.066016830803754, 0.3269666787027945]"
4,3,"[0.06942609815288335, -0.17457002515830689, 0.2136390908800886, -0.09125512458296174, 0.315609446502151]"
5,2,"[0.06942609815288335, -0.19593899551554017, 0.21701313883123066, -0.12836965204552478, 0.30211325469758266]"
6,3,"[0.0794498428254288, -0.1648653870306493, 0.25009149625063065, -0.14541001798885206, 0.2920895100250372]"
7,2,"[0.0794498428254288, -0.17647916042657436, 0.2527715978035364, -0.17310440070221178, 0.2804757366291121]"
