epoch,error,weights
1,1,"[0.7801369839724954, -0.9045190982549938, 0.1530629504385943, -0.8105572976884564, -0.23012512134200752]"
2,2,"[0.7801369839724954, -1.2845190982549939, 0.21306295043859425, -1.4705572976884564, -0.47012512134200746]"
3,1,"[0.9801369839724954, -0.26451909825499387, 0.9130629504385943, -1.1905572976884564, -0.4301251213420074]"
4,0,"[0.9801369839724954, -0.26451909825499387, 0.9130629504385943, -1.1905572976884564, -0.4301251213420074]"
