epoch,error,weights
1,5,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
2,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
3,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
4,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
5,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
6,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
7,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
8,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
9,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
10,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
11,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
12,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
13,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
14,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
15,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
16,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
17,0,"[0.01782501876267491, 0.008912509381337433, 0.09090759568964207, -0.1212101275861894, -0.05169255441175724]"
