epoch,error,weights
1,6,"[-18.819863016027472, 16.615480901745247, -10.386937049558975, 3.3294427023114066, -27.170125121339943]"
2,10,"[-19.21986301602747, 15.395480901745248, -11.706937049558976, 5.409442702311408, -25.910125121339938]"
3,9,"[-19.41986301602747, 15.035480901745249, -12.486937049558975, 7.769442702311407, -24.510125121339936]"
4,10,"[-19.81986301602747, 13.39548090174525, -13.766937049558976, 9.309442702311406, -23.330125121339933]"
5,8,"[-20.219863016027467, 11.435480901745251, -15.026937049558976, 10.049442702311408, -22.61012512133993]"
6,6,"[-20.219863016027467, 11.075480901745252, -15.186937049558978, 10.96944270231141, -22.010125121339932]"
7,6,"[-20.219863016027467, 10.895480901745252, -15.30693704955898, 11.989442702311408, -21.250125121339934]"
8,7,"[-20.419863016027467, 9.335480901745251, -15.926937049558983, 12.089442702311407, -20.830125121339936]"
9,4,"[-20.419863016027467, 8.97548090174525, -15.986937049558986, 12.389442702311406, -20.53012512133994]"
10,4,"[-20.419863016027467, 8.615480901745249, -16.046937049558988, 12.689442702311407, -20.230125121339942]"
11,4,"[-20.419863016027467, 8.255480901745248, -16.10693704955899, 12.989442702311408, -19.930125121339945]"
12,4,"[-20.419863016027467, 7.895480901745247, -16.166937049558992, 13.289442702311408, -19.630125121339947]"
13,4,"[-20.419863016027467, 7.535480901745247, -16.226937049558995, 13.589442702311409, -19.33012512133995]"
14,5,"[-20.219863016027467, 8.415480901745248, -15.606937049558997, 14.96944270231141, -18.570125121339952]"
15,5,"[-20.419863016027467, 6.775480901745247, -16.306937049559, 14.36944270231141, -18.570125121339956]"
16,4,"[-20.419863016027467, 6.415480901745247, -16.366937049559002, 14.669442702311411, -18.27012512133996]"
17,4,"[-20.419863016027467, 6.055480901745247, -16.426937049559005, 14.969442702311412, -17.97012512133996]"
18,4,"[-20.419863016027467, 5.755480901745246, -16.446937049559004, 15.329442702311411, -17.630125121339965]"
19,4,"[-20.419863016027467, 5.395480901745246, -16.506937049559006, 15.629442702311412, -17.330125121339968]"
