epoch,error,weights
1,5,"[0.7811230482820676, -0.4253735248935362, 0.42513915110421574, -0.3274586203033303, 0.5291594342225019]"
2,6,"[0.7811230482820676, -0.382479800218425, 0.40925258640973017, -0.3099833991393961, 0.5180388389363619]"
3,6,"[0.7811230482820676, -0.3499142941367547, 0.3950936707220475, -0.3000721581580182, 0.508127597954984]"
4,4,"[0.7811230482820676, -0.32467600035754696, 0.3900460119662059, -0.27735769375673125, 0.5106514273329048]"
5,7,"[0.7698762217782606, -0.3415462401132574, 0.34955743655250077, -0.27060959785444705, 0.506152696731382]"
6,6,"[0.7698762217782606, -0.3154845039646392, 0.3435431897489735, -0.2625906021164107, 0.4991360754606001]"
