epoch,error,weights
1,3,"[-0.017919090849841317, 0.03217020599424822, 0.36196024112143593, -0.26466831863847906, 0.48813803268528777]"
2,5,"[-0.03380565554432695, -0.02502142690590005, 0.2841160741184563, -0.15663967871597673, 0.545329665585436]"
3,3,"[-0.04796457123200971, -0.07740941495032626, 0.23880754391787146, -0.11133114851539187, 0.57506338852957]"
4,3,"[-0.06058371812161357, -0.13419557595354364, 0.18075946822569366, -0.07221179315761989, 0.5990397676198174]"
5,2,"[-0.06058371812161356, -0.12969684535202086, 0.1672632764211253, -0.033972583044676145, 0.6159100073755278]"
6,4,"[-0.06058371812161356, -0.10363510920340273, 0.15924428068308893, 0.027172259457851088, 0.6399669945896368]"
