epoch,error,weights
1,7,"[0.010398740525524204, -0.024166047344430966, 0.5095868647645211, -0.5392167711060024, 0.4124354253507302]"
2,0,"[0.010398740525524204, -0.024166047344430966, 0.5095868647645211, -0.5392167711060024, 0.4124354253507302]"
3,0,"[0.010398740525524204, -0.024166047344430966, 0.5095868647645211, -0.5392167711060024, 0.4124354253507302]"
4,0,"[0.010398740525524204, -0.024166047344430966, 0.5095868647645211, -0.5392167711060024, 0.4124354253507302]"
5,0,"[0.010398740525524204, -0.024166047344430966, 0.5095868647645211, -0.5392167711060024, 0.4124354253507302]"
