epoch,error,weights
1,3,"[0.7801369839724954, -1.1445190982549938, 0.19306295043859434, -1.7305572976884567, -0.6901251213420074]"
2,2,"[0.7801369839724954, -0.7245190982549937, 0.33306295043859446, -1.6905572976884566, -0.7501251213420075]"
3,2,"[0.7801369839724954, -0.5845190982549936, 0.31306295043859456, -1.9505572976884569, -0.9701251213420075]"
4,2,"[0.7801369839724954, -0.44451909825499347, 0.29306295043859465, -2.210557297688457, -1.1901251213420074]"
5,2,"[0.7801369839724954, -0.30451909825499335, 0.27306295043859474, -2.4705572976884573, -1.4101251213420074]"
6,2,"[0.7801369839724954, -0.32451909825499303, 0.3130629504385948, -2.7105572976884575, -1.5501251213420075]"
7,3,"[0.9801369839724954, 0.935480901745007, 0.8930629504385951, -2.070557297688458, -1.4701251213420075]"
8,3,"[0.7801369839724954, 0.05548090174500708, 0.1730629504385951, -2.610557297688458, -1.7301251213420075]"
9,2,"[0.7801369839724954, 0.2954809017450073, 0.2730629504385952, -2.690557297688458, -1.8301251213420073]"
10,4,"[0.7801369839724954, 0.7954809017450077, 0.17306295043859532, -2.2505572976884585, -1.7901251213420073]"
11,4,"[0.7801369839724954, 1.195480901745008, 0.09306295043859547, -1.8905572976884586, -1.7501251213420073]"
12,3,"[0.5801369839724955, 0.4154809017450083, -0.5069370495614045, -2.2505572976884585, -1.8901251213420074]"
13,2,"[0.5801369839724955, 0.5554809017450084, -0.5269370495614044, -2.5105572976884587, -2.1101251213420076]"
14,2,"[0.5801369839724955, 0.7954809017450086, -0.4269370495614043, -2.5905572976884588, -2.2101251213420077]"
15,2,"[0.5801369839724955, 0.9354809017450088, -0.44693704956140423, -2.850557297688459, -2.430125121342008]"
16,4,"[0.5801369839724955, 1.195480901745009, -0.6269370495614041, -2.4505572976884595, -2.390125121342008]"
17,4,"[0.5801369839724955, 1.5954809017450093, -0.7069370495614039, -2.0905572976884597, -2.350125121342008]"
18,4,"[0.5801369839724955, 1.8354809017450096, -0.8269370495614038, -1.7305572976884598, -2.3101251213420078]"
19,3,"[0.38013698397249546, 0.9554809017450097, -1.5469370495614037, -2.27055729768846, -2.570125121342008]"
20,2,"[0.38013698397249546, 1.1954809017450099, -1.4469370495614036, -2.35055729768846, -2.670125121342008]"
21,2,"[0.38013698397249546, 1.43548090174501, -1.3469370495614035, -2.43055729768846, -2.770125121342008]"
22,2,"[0.38013698397249546, 1.5754809017450102, -1.3669370495614035, -2.69055729768846, -2.9901251213420084]"
