epoch,error,weights
1,4,"[0.6000000000000001, -0.8599999999999999, -0.32000000000000006, 0.17999999999999994, 0.7]"
2,2,"[0.6000000000000001, -0.7199999999999998, -0.33999999999999997, -0.08000000000000007, 0.48]"
3,2,"[0.6000000000000001, -0.5799999999999996, -0.3599999999999999, -0.3400000000000002, 0.26]"
4,2,"[0.6000000000000001, -0.4399999999999995, -0.3799999999999998, -0.6000000000000003, 0.040000000000000036]"
5,2,"[0.6000000000000001, -0.2999999999999994, -0.3999999999999997, -0.8600000000000004, -0.18]"
6,2,"[0.6000000000000001, -0.15999999999999925, -0.4199999999999996, -1.1200000000000006, -0.4]"
7,2,"[0.6000000000000001, -0.01999999999999913, -0.4399999999999995, -1.3800000000000008, -0.6200000000000001]"
8,2,"[0.6000000000000001, 0.120000000000001, -0.4599999999999994, -1.640000000000001, -0.8400000000000001]"
9,2,"[0.6000000000000001, 0.2600000000000011, -0.4799999999999993, -1.9000000000000012, -1.06]"
10,2,"[0.6000000000000001, 0.40000000000000124, -0.4999999999999992, -2.1600000000000015, -1.28]"
11,2,"[0.6000000000000001, 0.5400000000000014, -0.5199999999999991, -2.4200000000000017, -1.5]"
12,2,"[0.6000000000000001, 0.6800000000000015, -0.539999999999999, -2.680000000000002, -1.72]"
13,2,"[0.6000000000000001, 0.8200000000000018, -0.5599999999999989, -2.940000000000002, -1.94]"
14,2,"[0.6000000000000001, 1.060000000000002, -0.45999999999999885, -3.0200000000000022, -2.04]"
15,4,"[0.6000000000000001, 1.6200000000000025, -0.4399999999999987, -2.6000000000000028, -1.98]"
16,4,"[0.6000000000000001, 1.8800000000000028, -0.5999999999999988, -2.240000000000003, -1.98]"
17,3,"[0.4000000000000001, 1.100000000000003, -1.1999999999999988, -2.6000000000000028, -2.12]"
18,2,"[0.4000000000000001, 1.3400000000000032, -1.0999999999999988, -2.680000000000003, -2.22]"
19,4,"[0.4000000000000001, 1.6000000000000039, -1.2799999999999985, -2.280000000000003, -2.18]"
20,4,"[0.4000000000000001, 2.0000000000000044, -1.3599999999999985, -1.920000000000003, -2.14]"
21,3,"[0.20000000000000007, 1.2200000000000044, -1.9599999999999986, -2.280000000000003, -2.2800000000000002]"
22,2,"[0.20000000000000007, 1.4600000000000046, -1.8599999999999985, -2.360000000000003, -2.3800000000000003]"
23,2,"[0.20000000000000007, 1.6000000000000048, -1.8799999999999986, -2.620000000000003, -2.6000000000000005]"
24,2,"[0.20000000000000007, 1.840000000000005, -1.7799999999999985, -2.7000000000000033, -2.7000000000000006]"
25,4,"[0.20000000000000007, 2.1600000000000055, -1.8599999999999985, -2.320000000000004, -2.660000000000001]"
26,4,"[0.20000000000000007, 2.560000000000006, -1.9399999999999986, -1.960000000000004, -2.620000000000001]"
27,3,"[5.551115123125783e-17, 1.7800000000000058, -2.5399999999999987, -2.320000000000004, -2.760000000000001]"
28,2,"[5.551115123125783e-17, 2.020000000000006, -2.4399999999999986, -2.400000000000004, -2.860000000000001]"
29,2,"[5.551115123125783e-17, 2.1600000000000064, -2.4599999999999986, -2.660000000000004, -3.0800000000000014]"
30,2,"[5.551115123125783e-17, 2.4000000000000066, -2.3599999999999985, -2.740000000000004, -3.1800000000000015]"
31,4,"[5.551115123125783e-17, 2.840000000000007, -2.3399999999999985, -2.3800000000000043, -3.1400000000000015]"
32,4,"[5.551115123125783e-17, 3.220000000000007, -2.3999999999999986, -1.9800000000000044, -3.080000000000002]"
33,3,"[-0.19999999999999996, 2.4400000000000066, -2.9999999999999987, -2.3400000000000043, -3.220000000000002]"
34,2,"[-0.19999999999999996, 2.580000000000007, -3.0199999999999987, -2.6000000000000045, -3.440000000000002]"
35,4,"[-0.19999999999999996, 3.1000000000000076, -2.8599999999999985, -2.220000000000005, -3.4200000000000026]"
36,5,"[-0.39999999999999997, 2.2800000000000074, -3.3599999999999985, -2.820000000000005, -3.660000000000003]"
37,4,"[-0.39999999999999997, 2.2400000000000073, -3.3199999999999985, -3.300000000000005, -3.8800000000000034]"
38,3,"[-0.19999999999999996, 3.660000000000008, -2.6999999999999984, -2.6600000000000055, -3.8000000000000034]"
39,5,"[-0.39999999999999997, 2.460000000000008, -3.4199999999999986, -3.4600000000000053, -4.080000000000004]"
40,3,"[-0.19999999999999996, 3.8800000000000088, -2.7999999999999985, -2.8200000000000056, -4.0000000000000036]"
41,5,"[-0.39999999999999997, 2.6800000000000086, -3.5199999999999987, -3.6200000000000054, -4.280000000000004]"
42,3,"[-0.19999999999999996, 4.100000000000009, -2.8999999999999986, -2.9800000000000058, -4.200000000000004]"
43,5,"[-0.39999999999999997, 2.9000000000000092, -3.6199999999999988, -3.7800000000000056, -4.480000000000004]"
44,3,"[-0.19999999999999996, 4.32000000000001, -2.9999999999999987, -3.140000000000006, -4.400000000000004]"
45,5,"[-0.39999999999999997, 3.820000000000011, -3.5399999999999983, -3.0400000000000063, -4.4200000000000035]"
46,4,"[-0.39999999999999997, 4.220000000000011, -3.6199999999999983, -2.6800000000000064, -4.3800000000000034]"
47,4,"[-0.39999999999999997, 4.380000000000011, -3.7999999999999985, -2.4400000000000066, -4.360000000000003]"
48,5,"[-0.6, 3.260000000000012, -4.479999999999999, -3.200000000000007, -4.680000000000003]"
49,3,"[-0.39999999999999997, 4.540000000000013, -3.9399999999999986, -2.560000000000007, -4.640000000000003]"
50,5,"[-0.6, 3.320000000000014, -4.619999999999999, -3.460000000000007, -4.960000000000003]"
51,3,"[-0.39999999999999997, 4.740000000000014, -3.999999999999999, -2.8200000000000074, -4.880000000000003]"
52,5,"[-0.6, 3.7800000000000145, -4.559999999999999, -3.4600000000000075, -5.140000000000002]"
53,4,"[-0.6, 3.9800000000000146, -4.3599999999999985, -3.780000000000008, -5.340000000000002]"
54,4,"[-0.6000000000000001, 4.400000000000015, -4.3199999999999985, -3.220000000000008, -5.1800000000000015]"
55,4,"[-0.6000000000000001, 4.800000000000015, -4.399999999999999, -2.8600000000000083, -5.1400000000000015]"
56,5,"[-0.8, 3.9800000000000146, -4.8999999999999995, -3.4600000000000084, -5.380000000000001]"
57,4,"[-0.8, 4.180000000000015, -4.7, -3.7800000000000087, -5.58]"
58,4,"[-0.8, 4.800000000000015, -4.42, -3.220000000000009, -5.4399999999999995]"
59,4,"[-0.8, 5.200000000000015, -4.5, -2.860000000000009, -5.3999999999999995]"
60,5,"[-1.0, 4.700000000000016, -5.039999999999999, -2.7600000000000096, -5.419999999999999]"
61,4,"[-1.0, 5.1000000000000165, -5.119999999999999, -2.4000000000000097, -5.379999999999999]"
62,5,"[-1.2, 4.0600000000000165, -5.74, -3.16000000000001, -5.659999999999998]"
63,3,"[-1.0, 5.480000000000017, -5.119999999999999, -2.5200000000000102, -5.579999999999998]"
64,5,"[-1.2, 4.980000000000017, -5.659999999999998, -2.4200000000000106, -5.599999999999998]"
65,5,"[-1.4, 4.2200000000000175, -6.079999999999997, -3.0600000000000107, -5.859999999999998]"
66,3,"[-1.2, 5.640000000000018, -5.459999999999997, -2.420000000000011, -5.779999999999998]"
67,5,"[-1.4, 4.360000000000019, -6.179999999999998, -3.3800000000000114, -6.1599999999999975]"
68,3,"[-1.2, 5.78000000000002, -5.559999999999997, -2.7400000000000118, -6.079999999999997]"
69,5,"[-1.4, 4.64000000000002, -6.219999999999997, -3.6600000000000117, -6.439999999999997]"
70,3,"[-1.2, 6.060000000000021, -5.599999999999996, -3.020000000000012, -6.359999999999997]"
71,5,"[-1.4, 5.660000000000021, -6.019999999999995, -2.740000000000012, -6.259999999999996]"
72,5,"[-1.5999999999999999, 4.860000000000021, -6.539999999999995, -3.3800000000000123, -6.519999999999996]"
73,3,"[-1.4, 6.280000000000022, -5.919999999999995, -2.7400000000000126, -6.439999999999996]"
74,5,"[-1.5999999999999999, 5.780000000000022, -6.459999999999994, -2.640000000000013, -6.4599999999999955]"
75,5,"[-1.7999999999999998, 4.980000000000022, -6.979999999999994, -3.280000000000013, -6.719999999999995]"
76,3,"[-1.5999999999999999, 6.400000000000023, -6.359999999999994, -2.6400000000000134, -6.639999999999995]"
77,5,"[-1.7999999999999998, 6.000000000000022, -6.779999999999993, -2.360000000000013, -6.539999999999995]"
78,5,"[-1.9999999999999998, 5.060000000000023, -7.379999999999994, -3.0000000000000133, -6.8399999999999945]"
79,4,"[-1.9999999999999998, 5.280000000000023, -7.199999999999993, -3.3600000000000136, -7.059999999999994]"
80,3,"[-1.7999999999999998, 6.700000000000024, -6.579999999999993, -2.720000000000014, -6.979999999999994]"
81,5,"[-1.9999999999999998, 6.300000000000025, -6.999999999999992, -2.440000000000014, -6.879999999999994]"
