epoch,error,weights
60,3,"[-1.2999999999999998, 5.560000000000019, -5.359999999999994, -2.340000000000011, -5.980000000000001]"
61,5,"[-1.4999999999999998, 4.280000000000019, -6.079999999999995, -3.3000000000000114, -6.360000000000001]"
62,3,"[-1.2999999999999998, 5.70000000000002, -5.459999999999994, -2.6600000000000117, -6.280000000000001]"
63,5,"[-1.4999999999999998, 4.56000000000002, -6.119999999999994, -3.5800000000000116, -6.640000000000001]"
64,3,"[-1.2999999999999998, 5.980000000000021, -5.499999999999993, -2.940000000000012, -6.5600000000000005]"
65,5,"[-1.4999999999999998, 5.5800000000000205, -5.919999999999992, -2.660000000000012, -6.46]"
66,5,"[-1.6999999999999997, 4.780000000000021, -6.4399999999999915, -3.3000000000000123, -6.72]"
67,3,"[-1.4999999999999998, 6.2000000000000215, -5.819999999999991, -2.6600000000000126, -6.64]"
68,5,"[-1.6999999999999997, 5.800000000000021, -6.23999999999999, -2.3800000000000128, -6.539999999999999]"
69,5,"[-1.8999999999999997, 4.860000000000022, -6.839999999999991, -3.020000000000013, -6.839999999999999]"
70,4,"[-1.8999999999999997, 5.080000000000022, -6.65999999999999, -3.380000000000013, -7.059999999999999]"
71,3,"[-1.6999999999999997, 6.500000000000023, -6.03999999999999, -2.7400000000000135, -6.979999999999999]"
72,5,"[-1.8999999999999997, 6.100000000000024, -6.459999999999989, -2.4600000000000137, -6.879999999999998]"
73,5,"[-2.0999999999999996, 5.0200000000000236, -7.099999999999989, -3.3200000000000136, -7.179999999999998]"
74,3,"[-1.8999999999999997, 6.440000000000024, -6.479999999999988, -2.680000000000014, -7.099999999999998]"
75,5,"[-2.0999999999999996, 5.300000000000026, -7.139999999999988, -3.600000000000014, -7.459999999999997]"
76,3,"[-1.8999999999999997, 6.720000000000026, -6.519999999999987, -2.960000000000014, -7.379999999999997]"
77,5,"[-2.0999999999999996, 6.320000000000026, -6.939999999999986, -2.6800000000000144, -7.279999999999997]"
78,5,"[-2.3, 5.520000000000026, -7.459999999999986, -3.3200000000000145, -7.5399999999999965]"
79,3,"[-2.0999999999999996, 6.940000000000028, -6.839999999999986, -2.680000000000015, -7.459999999999996]"
80,5,"[-2.3, 6.5400000000000285, -7.259999999999985, -2.400000000000015, -7.359999999999996]"
81,5,"[-2.5, 5.600000000000029, -7.859999999999985, -3.040000000000015, -7.659999999999996]"
